"Name","Country","Age","Height, cm","Weight","Sex","Date of birth","Gold","Silver","Bronze","Total","Sport"
"Andreas Bube","Denmark","25","177","65","M","7/13/1987","0","0","0","0","Athletics"
"Vitali Bubnovich","Belarus","37","169","67","M","11/12/1974","0","0","0","0","Shooting"
"Caroline Buchanan","Australia","21","165","68","F","10/24/1990","0","0","0","0","Cycling - BMX"
"Rushlee Buchanan","New Zealand","24","170","63","F","1/20/1988","0","0","0","0","Cycling - Track"
"Ralf Buchheim","Germany","28","183","70","M","10/10/1983","0","0","0","0","Shooting"
"Nicole Buchler","Switzerland","28","162","55","F","12/17/1983","0","0","0","0","Athletics"
"Richard Buck","Great Britain","25","188","80","M","11/14/1986","0","0","0","0","Athletics"
"Brodie Buckland","Australia","28","196","98","M","12/12/1983","0","0","0","0","Rowing"
"Zoe Buckman","Australia","23","168","50","F","12/21/1988","0","0","0","0","Athletics"
"Shea Buckner","United States of America","25","193","98","M","12/12/1986","0","0","0","0","Water Polo"
"Serhiy Budza","Ukraine","27","180","70","M","12/6/1984","0","0","0","0","Athletics"
"Kamil Budziejewski","Poland","23","","","M","9/14/1988","0","0","0","0","Athletics"
"Rachel Buehler","United States of America","26","165","65","F","8/26/1985","0","0","0","0","Football"
"Marcel Buerge","Switzerland","40","180","90","M","3/28/1972","0","0","0","0","Shooting"
"Roman Buerki","Switzerland","21","187","83","M","11/14/1990","0","0","0","0","Football"
"Oliver Buff","Switzerland","20","176","68","M","8/3/1992","0","0","0","0","Football"
"Romain Buffet","France","27","192","90","M","2/4/1985","0","0","0","0","Judo"
"Rachel Bugg","Australia","23","159","56","F","3/7/1989","0","0","0","0","Diving"
"Abdul Buhari","Great Britain","30","192","125","M","6/26/1982","0","0","0","0","Athletics"
"Matthias Buhler","Germany","25","189","77","M","9/2/1986","0","0","0","0","Athletics"
"Kim Bui","Germany","23","155","","F","1/20/1989","0","0","0","0","Gymnastics - Artistic"
"Ovidiu Buidoso","Romania","25","177","","M","7/13/1987","0","0","0","0","Gymnastics - Artistic"
"Aliaksandr Buikevich","Belarus","27","191","75","M","11/19/1984","0","0","0","0","Fencing"
"Alexandra Bujdoso","Germany","22","160","53","F","3/5/1990","0","0","0","0","Fencing"
"Cristina Bujin","Romania","24","172","53","F","4/12/1988","0","0","0","0","Athletics"
"Barbara Bujka","Hungary","25","174","84","F","9/5/1986","0","0","0","0","Water Polo"
"Andela Bulatovic","Montenegro","25","175","65","F","1/15/1987","0","0","0","0","Handball"
"Katarina Bulatovic","Montenegro","27","186","71","F","11/15/1984","0","0","0","0","Handball"
"Diana Laura Bulimar","Romania","16","140","","F","8/22/1995","0","0","1","1","Gymnastics - Artistic"
"Ivan Buljubasic","Croatia","24","198","108","M","10/31/1987","0","0","0","0","Water Polo"
"Jose Carlos Bulnes","Cuba","22","","","M","8/29/1989","0","0","0","0","Canoe Sprint"
"Michael Bultheel","Belgium","26","189","81","M","6/30/1986","0","0","0","0","Athletics"
"Gamze Bulut","Turkey","20","","","F","8/3/1992","0","0","0","0","Athletics"
"Denis Buntic","Croatia","29","199","110","M","10/13/1982","0","0","0","0","Handball"
"Erica Buratto","Italy","27","172","60","F","12/31/1984","0","0","0","0","Swimming"
"Roy Burch","Bermuda","26","185","80","M","11/29/1985","0","0","0","0","Swimming"
"Clark Burckle","United States of America","24","183","88","M","2/23/1988","0","0","0","0","Swimming"
"Mikolaj Burda","Poland","30","192","98","M","7/8/1982","0","0","0","0","Rowing"
"Louise Burgaard","Denmark","19","176","72","F","10/17/1992","0","0","0","0","Handball"
"Nathan Burgers","Australia","33","185","82","M","3/20/1979","0","0","0","0","Hockey"
"Matiss Burgis","Latvia","22","189","75","M","8/31/1989","0","0","0","0","Table Tennis"
"Lely Berlitt Burgos Ortiz","Puerto Rico","27","","48","F","6/6/1985","0","0","0","0","Weightlifting"
"Ilona Burgrova","Czech Republic","28","195","87","F","3/15/1984","0","0","0","0","Basketball"
"Damir Buric","Croatia","31","205","115","M","12/2/1980","0","0","0","0","Water Polo"
"Gelete Burka","Ethiopia","26","160","43","F","1/23/1986","0","0","0","0","Athletics"
"Steven Burke","Great Britain","24","183","74","M","3/4/1988","0","0","0","0","Cycling - Track"
"Olena Burkovska","Ukraine","30","158","50","F","8/9/1981","0","0","0","0","Athletics"
"Peter Burling","New Zealand","21","186","82","M","1/1/1991","0","0","0","0","Sailing"
"Kateryna Burmistrova","Ukraine","32","170","75","F","11/20/1979","0","0","0","0","Wrestling"
"Derek Burnett","Ireland","41","178","88","M","10/27/1970","0","0","0","0","Shooting"
"Jason Burnett","Canada","25","165","","M","12/16/1986","0","0","0","0","Trampoline"
"Simon Burnett","Great Britain","29","189","82","M","4/14/1983","0","0","0","0","Swimming"
"Marc Burns","Trinidad and Tobago","29","185","88","M","1/7/1983","0","0","0","0","Athletics"
"Jordan Ernest Burroughs","United States of America","24","173","74","M","7/8/1988","0","0","0","0","Wrestling"
"David Burrows","Ireland","35","193","106","M","5/11/1977","0","0","0","0","Sailing"
"Phillip Burrows","New Zealand","32","182","78","M","4/25/1980","0","0","0","0","Hockey"
"Olia Burtaev","Australia","17","170","","F","6/18/1995","0","0","0","0","Synchronised Swimming"
"Christopher Burton","Australia","30","180","70","M","11/22/1981","0","0","0","0","Equestrian"
"Euan Burton","Great Britain","33","182","81","M","3/31/1979","0","0","0","0","Judo"
"Alexander Bury","Belarus","24","203","93","M","9/14/1987","0","0","0","0","Tennis"
"Olena Buryak","Ukraine","24","194","88","F","2/8/1988","0","0","0","0","Rowing"
"Janeth Jepkosgei Busienei","Kenya","28","158","48","F","12/13/1983","0","0","0","0","Athletics"
"Andrei Busila","Romania","31","191","92","M","11/10/1980","0","0","0","0","Water Polo"
"Andro Buslje","Croatia","26","200","115","M","1/4/1986","0","0","0","0","Water Polo"
"Alberto Busnari","Italy","33","172","","M","10/4/1978","0","0","0","0","Gymnastics - Artistic"
"Elise Bussaglia","France","26","163","56","F","9/24/1985","0","0","0","0","Football"
"David Bustos","Spain","21","181","65","M","8/25/1990","0","0","0","0","Athletics"
"Esteban Bustos Rodriguez","Chile","19","165","60","M","12/17/1992","0","0","0","0","Modern Pentathlon"
"Urige Buta","Norway","33","","","M","11/28/1978","0","0","0","0","Athletics"
"Chatchai Butdee","Thailand","27","166","","M","3/26/1985","0","0","0","0","Boxing"
"Olga Butkevych","Great Britain","26","160","55","F","1/3/1986","0","0","0","0","Wrestling"
"Alexander Butko","Russian Federation","26","198","97","M","3/18/1986","0","0","0","0","Volleyball"
"Jack Butland","Great Britain","19","195","95","M","3/10/1993","0","0","0","0","Football"
"Kim Butler","Great Britain","29","188","80","F","9/7/1982","0","0","0","0","Basketball"
"Vitaliy Butrym","Ukraine","21","178","67","M","1/10/1991","0","0","0","0","Athletics"
"Imran Butt","Pakistan","24","","","M","7/16/1988","0","0","0","0","Hockey"
"Linus Butt","Germany","25","186","85","M","3/12/1987","0","0","0","0","Hockey"
"Rehan Butt","Pakistan","32","","","M","7/6/1980","0","0","0","0","Hockey"
"Tyler Butterfield","Bermuda","29","181","75","M","2/12/1983","0","0","0","0","Triathlon"
"Matthew Butturini","Australia","24","181","81","M","8/7/1987","0","0","0","0","Hockey"
"Kimberly Buys","Belgium","23","187","72","F","4/23/1989","0","0","0","0","Swimming"
"Philip Buys","South Africa","23","187","74","M","9/30/1988","0","0","0","0","Cycling - Mountain Bike"
"Derya Buyukuncu","Turkey","36","","","M","7/2/1976","0","0","0","0","Swimming"
"Paulina Buziak","Poland","25","170","50","F","12/16/1986","0","0","0","0","Athletics"
"Moran Buzovski","Israel","20","173","","F","3/23/1992","0","0","0","0","Gymnastics - Rhythmic"
"Tuvshinbat Byamba","Mongolia","25","174","","M","3/27/1987","0","0","0","0","Boxing"
"Igor Bychkov","Spain","25","189","83","M","3/7/1987","0","0","0","0","Athletics"
"Dremiel Deshon Byers","United States of America","37","188","120","M","9/11/1974","0","0","0","0","Wrestling"
"Pavel Bykov","Russian Federation","30","180","80","M","24/04/1982 (RUS)","0","0","0","0","Fencing"
"Lyn Byl","Great Britain","32","172","67","F","12/1/1979","0","0","0","0","Handball"
"Linda Byrne","Ireland","26","163","50","F","5/13/1986","0","0","0","0","Athletics"
"Andrew Byrnes","Canada","29","200","98","M","5/22/1983","0","1","0","1","Rowing"
"Youngjun Byun","Republic of Korea","28","175","58","M","3/20/1984","0","0","0","0","Athletics"
"Barbara Gasser","Austria","22","165","","F","8/30/1989","0","0","0","0","Gymnastics - Artistic"
"Barbara Parker","Great Britain","29","171","52","F","11/8/1982","0","0","0","0","Athletics"
"Beate Gauss","Germany","27","171","68","F","8/10/1984","0","0","0","0","Shooting"
"Ben Hawes","Great Britain","32","176","76","M","7/28/1980","0","0","0","0","Hockey"
"Benjamin Cureton","Australia","31","184","70","M","2/11/1981","0","0","0","0","Rowing"
"Berit Kristensen","Denmark","29","172","69","F","8/2/1983","0","0","0","0","Handball"
"Betsy Hassett","New Zealand","21","157","55","F","8/4/1990","0","0","0","0","Football"
"Betty Heidler","Germany","28","175","83","F","10/14/1983","0","0","0","0","Athletics"
"Bianca Del Carretto","Italy","26","173","54","F","8/28/1985","0","0","0","0","Fencing"
"Binyuan Hu","People's Republic of China","34","180","67","M","11/7/1977","0","0","0","0","Shooting"
"Bjoern Huebner","Germany","26","182","83","M","22/01/1986 (GER)","0","0","0","0","Fencing"
"Blake Gaudry","Australia","20","178","","M","11/29/1991","0","0","0","0","Trampoline"
"Blazenko Lackovic","Croatia","31","196","99","M","12/25/1980","0","0","0","0","Handball"
"Bo Bae Ki","Republic of Korea","24","168","55","F","2/20/1988","2","0","0","2","Archery"
"Boglarka Kapas","Hungary","19","167","56","F","4/22/1993","0","0","0","0","Swimming"
"Bojana Popovic","Montenegro","32","185","74","F","11/20/1979","0","0","0","0","Handball"
"Bongil Gu","Republic of Korea","23","180","65","M","4/27/1989","0","0","0","0","Fencing"
"Boonsak Ponsana","Thailand","30","178","68","M","2/22/1982","0","0","0","0","Badminton"
"Breeja Larson","United States of America","20","183","73","F","4/16/1992","0","0","0","0","Swimming"
"Brent Hayden","Canada","28","193","86","M","10/21/1983","0","0","1","1","Swimming"
"Brent Larue","Slovenia","25","193","85","M","4/26/1987","0","0","0","0","Athletics"
"Brian Mariano","Netherlands","27","182","86","M","1/22/1985","0","0","0","0","Athletics"
"Bridgitte Hartley","South Africa","29","173","66","F","7/14/1983","0","0","0","0","Canoe Sprint"
"Brigitte Merlano","Colombia","30","172","60","F","4/29/1982","0","0","0","0","Athletics"
"Britta Heidemann","Germany","29","180","71","F","12/22/1982","0","1","0","1","Fencing"
"Bruno Ecuele","Gabon","24","187","72","M","7/16/1988","0","0","0","0","Football"
"Bruno Fontes","Brazil","32","175","83","M","9/25/1979","0","0","0","0","Sailing"
"Byron Patricio Guama de la Cruz","Ecuador","27","170","61","M","6/14/1985","0","0","0","0","Cycling - Road"
"Juan Sebastian Cabal","Colombia","26","185","80","M","4/25/1986","0","0","0","0","Tennis"
"Dailis Caballero","Cuba","24","","","F","3/6/1988","0","0","0","0","Athletics"
"Denia Caballero","Cuba","22","","","F","1/13/1990","0","0","0","0","Athletics"
"Yolanda Caballero","Colombia","30","155","46","F","3/9/1982","0","0","0","0","Athletics"
"Ana Cabecinha","Portugal","28","164","48","F","4/29/1984","0","0","0","0","Athletics"
"Alba Cabello Rodilla","Spain","26","163","","F","4/30/1986","0","0","0","0","Synchronised Swimming"
"Donald Cabral","United States of America","22","178","67","M","12/12/1989","0","0","0","0","Athletics"
"Rachelle Anne Cabral","Philippines","27","170","74","F","4/10/1985","0","0","0","0","Archery"
"Milagros Cabral de la Cruz","Dominican Republic","33","181","63","F","10/17/1978","0","0","0","0","Volleyball"
"Eusebio Caceres","Spain","20","174","69","M","9/10/1991","0","0","0","0","Athletics"
"Ignacio Caceres","Spain","36","165","53","M","6/18/1976","0","0","0","0","Athletics"
"Erik Cadee","Netherlands","28","201","120","M","2/15/1984","0","0","0","0","Athletics"
"Maaike Caelers","Netherlands","21","167","53","F","9/2/1990","0","0","0","0","Triathlon"
"Quazi Syque Caesar","Bangladesh","21","158","","M","8/22/1990","0","0","0","0","Gymnastics - Artistic"
"Erin Cafaro","United States of America","29","175","75","F","6/9/1983","1","0","0","1","Rowing"
"Bahar Caglar","Turkey","23","190","76","F","9/28/1988","0","0","0","0","Basketball"
"Tania Cagnotto","Italy","27","160","54","F","5/15/1985","0","0","0","0","Diving"
"Yun Cai","People's Republic of China","32","182","72","M","1/19/1980","0","0","0","0","Badminton"
"Zelin Cai","People's Republic of China","21","172","55","M","4/11/1991","0","0","0","0","Athletics"
"Andrea Caianiello","Italy","24","183","73","M","9/24/1987","0","0","0","0","Rowing"
"Nelcy Caicedo","Colombia","22","162","60","F","2/15/1990","0","0","0","0","Athletics"
"Chiara Cainero","Italy","34","170","75","F","3/24/1978","0","0","0","0","Shooting"
"Imogen Cairns","Great Britain","23","156","","F","1/26/1989","0","0","0","0","Gymnastics - Artistic"
"Tandara Caixeta","Brazil","23","184","87","F","10/30/1988","0","0","0","0","Volleyball"
"Mustafa Cakir","Turkey","25","184","85","M","12/15/1986","0","0","0","0","Sailing"
"Asli Cakir Alptekin","Turkey","26","168","50","F","8/20/1985","0","0","0","0","Athletics"
"David Cal Figueroa","Spain","29","183","87","M","10/10/1982","0","0","0","0","Canoe Sprint"
"Lucas Calabrese","Argentina","25","168","61","M","12/12/1986","0","0","0","0","Sailing"
"David Calder","Canada","34","195","90","M","5/21/1978","0","0","0","0","Rowing"
"Jose Calderon","Spain","30","191","90","M","9/28/1981","0","0","0","0","Basketball"
"Hilary Caldwell","Canada","21","173","63","F","3/13/1991","0","0","0","0","Swimming"
"Quentin Caleyron","France","24","186","92","M","1/30/1988","0","0","0","0","Cycling - BMX"
"Briken Calja","Albania","22","169","69","M","2/19/1990","0","0","0","0","Weightlifting"
"Leah Mariem Lorraine Callahan","Canada","25","161","72","F","6/20/1987","0","0","0","0","Wrestling"
"Maria Luisa Calle Williams","Colombia","43","168","52","F","10/3/1968","0","0","0","0","Cycling - Road, Cycling - Track"
"Emmanuel Callender","Trinidad and Tobago","28","189","86","M","5/10/1984","0","0","0","0","Athletics"
"Facundo Callioni","Argentina","26","182","77","M","10/9/1985","0","0","0","0","Hockey"
"Carole Calmes","Luxembourg","33","158","60","F","9/10/1978","0","0","0","0","Shooting"
"Daniel Caluag","Philippines","25","167","77","M","1/15/1987","0","0","0","0","Cycling - BMX"
"Schillonie Calvert","Jamaica","24","135","54","F","7/27/1988","0","0","0","0","Athletics"
"Maximiliano Calzada","Uruguay","22","170","69","M","4/21/1990","0","0","0","0","Football"
"Chakyl Pfiffer Camal","Mozambique","22","185","83","M","3/18/1990","0","0","0","0","Swimming"
"Alyn Camara","Germany","23","196","85","M","3/31/1989","0","0","0","0","Athletics"
"Dede Camara","Guinea","21","159","61","F","7/22/1991","0","0","0","0","Swimming"
"Moussa Camara","Mali","24","","","M","2/12/1988","0","0","0","0","Athletics"
"Papa Camara","Senegal","19","196","70","M","1/16/1993","0","0","0","0","Football"
"Jillian Camarena-Williams","United States of America","30","178","113","F","3/2/1982","0","0","0","0","Athletics"
"Elizabeth Cambage","Australia","20","203","98","F","8/18/1991","0","0","0","0","Basketball"
"Ivan Cambar Rodriguez","Cuba","28","","77","M","12/29/1983","0","0","1","1","Weightlifting"
"Katrina Cameron","Canada","17","157","","F","5/9/1995","0","0","0","0","Gymnastics - Rhythmic"
"Tiago Camilo","Brazil","30","180","90","M","5/24/1982","0","0","0","0","Judo"
"Roberto Cammarelle","Italy","32","191","","M","7/30/1980","0","0","0","0","Boxing"
"Lucas Cammareri","Argentina","31","176","72","M","4/4/1981","0","0","0","0","Hockey"
"Giorgia Campana","Italy","17","152","","F","5/16/1995","0","0","0","0","Gymnastics - Artistic"
"Martin Campana","Uruguay","23","185","75","M","5/29/1989","0","0","0","0","Football"
"Facundo Campazzo","Argentina","21","179","88","M","3/23/1991","0","0","0","0","Basketball"
"Alan Campbell","Great Britain","29","191","96","M","5/9/1983","0","0","1","1","Rowing"
"Amber Campbell","United States of America","31","170","91","F","6/5/1981","0","0","0","0","Athletics"
"Bronte Campbell","Australia","18","179","58","F","5/14/1994","0","0","0","0","Swimming"
"Cate Campbell","Australia","20","186","67","F","5/20/1992","1","0","0","1","Swimming"
"Kelsey Campbell","United States of America","27","163","55","F","6/5/1985","0","0","0","0","Wrestling"
"Logan Campbell","New Zealand","26","177","","M","6/7/1986","0","0","0","0","Taekwondo"
"Luke Campbell","Great Britain","24","175","","M","9/27/1987","0","0","0","0","Boxing"
"Richie Campbell","Australia","24","193","99","M","9/18/1987","0","0","0","0","Water Polo"
"Veronica Campbell-Brown","Jamaica","30","160","61","F","5/15/1982","0","0","0","0","Athletics"
"Pietro Camporesi","Italy","24","182","72","M","10/25/1987","0","0","0","0","Canoe Slalom"
"Hector Campos","Argentina","23","188","90","M","12/19/1988","0","0","0","0","Judo"
"Astrid Roxana Camposeco Hernandez","Guatemala","21","167","84","F","4/27/1991","0","0","0","0","Weightlifting"
"Niccolo Campriani","Italy","24","177","75","M","11/6/1987","0","1","0","1","Shooting"
"Catarina Camufal","Angola","32","168","67","F","3/30/1980","0","0","0","0","Basketball"
"Fabian Cancellara","Switzerland","31","186","81","M","3/18/1981","0","0","0","0","Cycling - Road"
"Joan Canellas Reixach","Spain","25","198","100","M","9/30/1986","0","0","0","0","Handball"
"Hersony Canelon","Venezuela","23","175","75","M","12/8/1988","0","0","0","0","Cycling - Track"
"Tugce Canitez","Turkey","21","190","85","F","11/10/1990","0","0","0","0","Basketball"
"Flavio Cannone","Italy","30","165","","M","11/5/1981","0","0","0","0","Trampoline"
"Juan Manuel Cano","Argentina","24","168","60","M","12/12/1987","0","0","0","0","Athletics"
"Busra Cansu","Turkey","22","188","80","F","7/16/1990","0","0","0","0","Volleyball"
"Julieta Cantaluppi","Italy","27","163","","F","1/24/1985","0","0","0","0","Gymnastics - Rhythmic"
"Noemi Cantele","Italy","31","170","58","F","7/17/1981","0","0","0","0","Cycling - Road"
"Christian Cantwell","United States of America","31","193","154","M","9/30/1980","0","0","0","0","Athletics"
"Shuo Cao","People's Republic of China","20","182","69","M","10/8/1991","0","0","0","0","Athletics"
"Yuan Cao","People's Republic of China","17","160","42","M","2/7/1995","1","0","0","1","Diving"
"Zhongrong Cao","People's Republic of China","30","180","73","M","11/3/1981","0","0","0","0","Modern Pentathlon"
"Claudio Capelli","Switzerland","25","169","","M","11/16/1986","0","0","0","0","Gymnastics - Artistic"
"Vincenzo Capelli","Italy","23","193","96","M","10/26/1988","0","0","0","0","Rowing"
"Tereza Capkova","Czech Republic","25","162","54","F","7/24/1987","0","0","0","0","Athletics"
"Debbie Capozzi","United States of America","31","163","67","F","7/9/1981","0","0","0","0","Sailing"
"Manuel Cappai","Italy","19","167","","M","10/9/1992","0","0","0","0","Boxing"
"Corina Caprioriu","Romania","26","160","57","F","7/18/1986","0","1","0","1","Judo"
"Erwin Jose Caraballo Cabrera","Venezuela","31","185","96","M","7/21/1981","0","0","0","0","Wrestling"
"Francine Cararo","Brazil","31","172","63","F","1/1/1981","0","0","0","0","Handball"
"Marzia Caravelli","Italy","30","176","63","F","10/23/1981","0","0","0","0","Athletics"
"Lorenzo Carboncini","Italy","35","191","88","M","9/22/1976","0","0","0","0","Rowing"
"Ona Carbonell Ballestero","Spain","22","174","","F","6/5/1990","0","0","0","0","Synchronised Swimming"
"Tassia Carcavalli","Brazil","20","179","61","F","5/31/1992","0","0","0","0","Basketball"
"Juan Carlos Cardona","Colombia","37","168","60","M","9/7/1974","0","0","0","0","Athletics"
"Angela Cardoso","Angola","33","181","77","F","4/9/1979","0","0","0","0","Basketball"
"Manuel Antonio Leal Cardoso","Portugal","29","179","70","M","4/7/1983","0","0","0","0","Cycling - Road"
"Michelle Carey","Ireland","31","169","57","F","3/20/1981","0","0","0","0","Athletics"
"Andreas Cariolou","Cyprus","29","181","73","M","11/24/1982","0","0","0","0","Sailing"
"Mayelis Yesenia Caripa Castillo","Venezuela","31","140","48","F","8/16/1980","0","0","0","0","Wrestling"
"Gillian Carleton","Canada","22","179","68","F","12/3/1989","0","0","0","0","Cycling - Track"
"Diletta Carli","Italy","16","170","62","F","5/7/1996","0","0","0","0","Swimming"
"Azenaide Carlos","Angola","22","174","62","F","6/14/1990","0","0","0","0","Handball"
"Anja Carman","Slovenia","27","175","65","F","3/22/1985","0","0","0","0","Swimming"
"Sara Carmo","Portugal","25","176","65","F","10/12/1986","0","0","0","0","Sailing"
"Karen Carney","Great Britain","25","163","55","F","8/1/1987","0","0","0","0","Football"
"Laurent Carnol","Luxembourg","22","186","80","M","10/17/1989","0","0","0","0","Swimming"
"Danilo Caro Guarnieri","Colombia","46","175","74","M","9/6/1965","0","0","0","0","Shooting"
"Gonzalo Matias Carou","Argentina","32","194","103","M","8/15/1979","0","0","0","0","Handball"
"Cecilia CARRANZA SAROLI","Argentina","25","164","65","F","12/29/1986","0","0","0","0","Sailing"
"Rodrigo Carrasco","Chile","36","180","77","M","10/18/1975","0","0","0","0","Equestrian"
"Ana Carrascosa","Spain","32","158","52","F","5/6/1980","0","0","0","0","Judo"
"Cyrille Carre","France","28","184","77","M","5/11/1984","0","0","0","0","Canoe Sprint"
"Pablo Carrera","Spain","26","182","106","M","8/2/1986","0","0","0","0","Shooting"
"Lisa Carrington","New Zealand","23","168","53","F","6/23/1989","0","0","0","0","Canoe Sprint"
"Javier Carriqueo","Argentina","33","175","62","M","5/29/1979","0","0","0","0","Athletics"
"Joel Carroll","Australia","25","184","89","M","9/11/1986","0","0","0","0","Hockey"
"David Carry","Great Britain","30","184","75","M","10/8/1981","0","0","0","0","Swimming"
"Carolena Carstens Salceda","Panama","16","165","","F","1/18/1996","0","0","0","0","Taekwondo"
"Grace Carter","Great Britain","22","183","78","F","8/10/1989","0","0","0","0","Volleyball"
"Michelle Carter","United States of America","26","175","116","F","10/12/1985","0","0","0","0","Athletics"
"Nesta Carter","Jamaica","26","173","78","M","10/11/1985","0","0","0","0","Athletics"
"Diogo Carvalho","Portugal","24","181","73","M","3/26/1988","0","0","0","0","Swimming"
"Florian Carvalho","France","23","183","70","M","3/9/1989","0","0","0","0","Athletics"
"Goncalo Carvalho","Portugal","30","175","64","M","4/1/1982","0","0","0","0","Equestrian"
"Jaqueline Carvalho","Brazil","28","186","70","F","12/31/1983","0","0","0","0","Volleyball"
"Marcio Carvalho Jorge","Brazil","37","","","M","1/28/1975","0","0","0","0","Equestrian"
"Nelkis Casabona","Cuba","28","","","F","5/12/1984","0","0","0","0","Athletics"
"Yennifer Frank Casanas","Spain","33","187","117","M","10/18/1978","0","0","0","0","Athletics"
"Cristina Casandra","Romania","35","169","54","F","2/1/1977","0","0","0","0","Athletics"
"Elisa Casanova","Italy","38","185","100","F","11/26/1973","0","0","0","0","Water Polo"
"Brendan Casey","Australia","35","189","98","M","2/22/1977","0","0","0","0","Sailing"
"Swin Cash","United States of America","32","183","77","F","9/22/1979","0","0","0","0","Basketball"
"Carlos Henrique Casimiro","Brazil","20","","","M","2/23/1992","0","0","0","0","Football"
"Georgina Cassar","Great Britain","18","170","","F","9/9/1993","0","0","0","0","Gymnastics - Rhythmic"
"Andrea Cassara","Italy","28","192","90","M","1/3/1984","0","0","0","0","Fencing"
"Lucia Castaneda Gomez","Nicaragua","31","","62","F","7/8/1981","0","0","0","0","Weightlifting"
"Patricia Castaneda Miyamoto","Mexico","22","167","59","F","3/16/1990","0","0","0","0","Swimming"
"Stefany Castano","Colombia","18","172","62","F","1/11/1994","0","0","0","0","Football"
"Alexianne Castel","France","22","180","76","F","7/25/1990","0","0","0","0","Swimming"
"Joana Castelao","Portugal","27","162","56","F","12/26/1984","0","0","0","0","Shooting"
"Ivan Castellani","Argentina","21","198","83","M","1/19/1991","0","0","0","0","Volleyball"
"Berta Castells","Spain","28","174","78","F","1/24/1984","0","0","0","0","Athletics"
"Carles Castillejo","Spain","33","171","60","M","8/18/1978","0","0","0","0","Athletics"
"Brenda Castillo","Dominican Republic","20","167","55","F","6/5/1992","0","0","0","0","Volleyball"
"Darrel Castillo","Guatemala","19","183","100","M","8/4/1992","0","0","0","0","Judo"
"Diego Castillo","Panama","21","175","73","M","7/5/1991","0","0","0","0","Swimming"
"Nabor Castillo","Mexico","21","160","60","M","10/4/1990","0","0","0","0","Judo"
"Carolina Castillo Hidalgo","Colombia","21","155","48","F","11/4/1990","0","0","0","0","Wrestling"
"Yahel Castillo Huerta","Mexico","25","166","66","M","6/6/1987","0","0","0","0","Diving"
"Junior Castillo Martinez","Dominican Republic","26","178","","M","5/10/1986","0","0","0","0","Boxing"
"Jocelyn Castillo Suarez","Venezuela","21","151","47","F","5/20/1991","0","0","0","0","Diving"
"Julio Castillo Torres","Ecuador","24","184","","M","5/10/1988","0","0","0","0","Boxing"
"Cesar Castro","Brazil","29","175","72","M","9/2/1982","0","0","0","0","Diving"
"Katerin Castro","Colombia","20","174","64","F","11/21/1991","0","0","0","0","Football"
"Sheilla Castro","Brazil","29","187","67","F","7/1/1983","0","0","0","0","Volleyball"
"Arles Antonio Castro Laverde","Colombia","33","170","62","M","7/17/1979","0","0","0","0","Cycling - Track"
"Simona Castro Lazo","Chile","23","160","","F","1/11/1989","0","0","0","0","Gymnastics - Artistic"
"Patricia Castro Ortega","Spain","19","178","66","F","8/6/1992","0","0","0","0","Swimming"
"Jonathan Castroviejo Nicolas","Spain","25","172","64","M","4/27/1987","0","0","0","0","Cycling - Road"
"Camille Catala","France","21","169","60","F","5/6/1991","0","0","0","0","Football"
"Tamika Catchings","United States of America","33","188","77","F","7/21/1979","0","0","0","0","Basketball"
"Nicholas Catlin","Great Britain","23","175","74","M","4/8/1989","0","0","0","0","Hockey"
"Roxroy Cato","Jamaica","24","183","77","M","1/5/1988","0","0","0","0","Athletics"
"Virginie Caulier","Belgium","32","176","65","F","8/22/1979","0","0","0","0","Equestrian"
"Steven Caulker","Great Britain","20","191","76","M","12/29/1991","0","0","0","0","Football"
"Fabien Causeur","France","25","192","86","M","6/16/1987","0","0","0","0","Basketball"
"Olivier Cauwenbergh","Belgium","25","171","70","M","3/15/1987","0","0","0","0","Canoe Sprint"
"Deonise Cavaleiro","Brazil","29","180","73","F","6/20/1983","0","0","0","0","Handball"
"Martina Cavallero","Argentina","22","163","58","F","5/7/1990","0","0","0","0","Hockey"
"Edinson Cavani","Uruguay","25","184","74","M","2/14/1987","0","0","0","0","Football"
"Felismina Cavela","Angola","19","156","45","F","8/24/1992","0","0","0","0","Athletics"
"Louise Cavenaile","Belgium","23","172","66","F","2/17/1989","0","0","0","0","Hockey"
"Mark Cavendish","Great Britain","27","175","69","M","5/21/1985","0","0","0","0","Cycling - Road"
"Milorad Cavic","Serbia","28","197","93","M","5/31/1984","0","0","0","0","Swimming"
"Rachel Cawthorn","Great Britain","23","176","70","F","11/3/1988","0","0","0","0","Canoe Sprint"
"Magda Cazanga","Angola","21","172","64","F","5/28/1991","0","0","0","0","Handball"
"Amelie Caze","France","27","180","64","F","2/18/1985","0","0","0","0","Modern Pentathlon"
"Nicolai Ceban","Republic of Moldova","26","186","95","M","3/30/1986","0","0","0","0","Wrestling"
"Selcuk Cebi","Turkey","30","170","74","M","6/3/1982","0","0","0","0","Wrestling"
"Suzana Cebic","Serbia","27","167","60","F","11/9/1984","0","0","0","0","Volleyball"
"Alicia Cebrian Martinez de Lagos","Spain","29","168","63","F","2/3/1983","0","0","0","0","Sailing"
"Katerina Cechova","Czech Republic","24","173","64","F","3/21/1988","0","0","0","0","Athletics"
"Machel Cedenio","Trinidad and Tobago","16","183","70","M","9/6/1995","0","0","0","0","Athletics"
